"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"HB.12","/wiki/Bernd_Ravens-hb-15","/wiki/Bernd_Ravens","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",15
"HB.13","/wiki/Christian_Weber_(Politiker,_1946)-hb-16","/wiki/Christian_Weber_(Politiker,_1946)","Landtagspräsident/in","Landtagspräsident/in",2003-07-03,2007-06-27,"hb",16
"HB.14","/wiki/Karin_Mathes-hb-16","/wiki/Karin_Mathes","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",16
"HB.15","/wiki/Bernd_Ravens-hb-16","/wiki/Bernd_Ravens","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",16
"HB.16","/wiki/Christian_Weber_(Politiker,_1946)-hb-17","/wiki/Christian_Weber_(Politiker,_1946)","Landtagspräsident/in","Landtagspräsident/in",2007-06-28,2011-06-28,"hb",17
"HB.17","/wiki/Karin_Mathes-hb-17","/wiki/Karin_Mathes","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",17
"HB.18","/wiki/Bernd_Ravens-hb-17","/wiki/Bernd_Ravens","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hb",17
"HB.19","/wiki/Christian_Weber_(Politiker,_1946)-hb-18","/wiki/Christian_Weber_(Politiker,_1946)","Landtagspräsident/in","Landtagspräsident/in",2011-06-29,2015-06-30,"hb",18
"HB.20","/wiki/Bernd_Ravens-hb-18","/wiki/Bernd_Ravens","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-06-29,2015-06-30,"hb",18
"HB.21","/wiki/Silvia_Sch%C3%B6n-hb-18","/wiki/Silvia_Sch%C3%B6n","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-06-29,2015-06-30,"hb",18
"HB.22","/wiki/Antje_Grotheer-hb-19","/wiki/Antje_Grotheer","Landtagspräsident/in","Landtagspräsident/in",2015-07-01,2019-07-02,"hb",19
"HB.23","/wiki/S%C3%BClmez_Dogan-hb-19","/wiki/S%C3%BClmez_Dogan","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-07-01,2019-07-02,"hb",19
"HB.24","/wiki/Frank_Imhoff-hb-19","/wiki/Frank_Imhoff","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-07-01,2019-07-02,"hb",19
"HB.25","/wiki/Christian_Weber_(Politiker,_1946)-hb-19","/wiki/Christian_Weber_(Politiker,_1946)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-07-01,2019-02-12,"hb",19
"HE.1","/wiki/Jochen_Lengemann-he-12","/wiki/Jochen_Lengemann","Landtagspräsident/in","Landtagspräsident/in",1987-04-23,1988-07-22,"he",12
"HE.2","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)-he-12","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)","Landtagspräsident/in","Landtagspräsident/in",1988-07-28,1991-04-04,"he",12
"HE.3","/wiki/Herbert_G%C3%BCnther_(Politiker)-he-12","/wiki/Herbert_G%C3%BCnther_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1987-04-23,1991-04-04,"he",12
"HE.4","/wiki/Ruth_Wagner-he-12","/wiki/Ruth_Wagner","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1987-04-23,1991-04-04,"he",12
"HE.5","/wiki/Georg_Sturmowski-he-12","/wiki/Georg_Sturmowski","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1987-04-23,1991-04-04,"he",12
"HE.6","/wiki/Erwin_Lang_(Politiker)-he-12","/wiki/Erwin_Lang_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1987-04-23,1988-07-19,"he",12
"HE.7","/wiki/Armin_Clauss-he-12","/wiki/Armin_Clauss","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1988-07-28,1991-04-04,"he",12
"HE.8","/wiki/Karl_Starzacher_(Politiker)-he-13","/wiki/Karl_Starzacher_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",1991-04-05,1995-04-04,"he",13
"HE.9","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)-he-13","/wiki/Klaus_Peter_M%C3%B6ller_(Politiker,_1937)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-04-05,1995-04-04,"he",13
