"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.115","/wiki/Horst_Arnold_(Politiker)-by-17","/wiki/Horst_Arnold_(Politiker)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2017-07-13,2018-09-27,"by",17
"BY.116","/wiki/Simone_Strohmayr-by-17","/wiki/Simone_Strohmayr","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
"BY.117","/wiki/Hubert_Aiwanger-by-17","/wiki/Hubert_Aiwanger","Freie Wähler","Freie Wähler","Fraktionsvorsitz","Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
"BY.118","/wiki/Thorsten_Glauber-by-17","/wiki/Thorsten_Glauber","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
"BY.119","/wiki/Ulrike_M%C3%BCller_(Politikerin)-by-17","/wiki/Ulrike_M%C3%BCller_(Politikerin)","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2014-09-30,"by",17
"BY.120","/wiki/Bernhard_Pohl-by-17","/wiki/Bernhard_Pohl","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-15,2016-02-03,"by",17
"BY.121","/wiki/Peter_Bauer_(Politiker)-by-17","/wiki/Peter_Bauer_(Politiker)","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2016-02-03,2018-09-27,"by",17
"BY.122","/wiki/Karl_Vetter_(Politiker,_1953)-by-17","/wiki/Karl_Vetter_(Politiker,_1953)","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2016-02-03,"by",17
"BY.123","/wiki/Alexander_Muthmann-by-17","/wiki/Alexander_Muthmann","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2016-02-03,2017-10-04,"by",17
"BY.124","/wiki/Margarete_Bause-by-17","/wiki/Margarete_Bause","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2013-10-07,2017-02-14,"by",17
"BY.125","/wiki/Katharina_Schulze-by-17","/wiki/Katharina_Schulze","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2017-02-15,2018-09-27,"by",17
"BY.126","/wiki/Ludwig_Hartmann_(Politiker,_1978)-by-17","/wiki/Ludwig_Hartmann_(Politiker,_1978)","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
"BY.127","/wiki/Verena_Osgyan-by-17","/wiki/Verena_Osgyan","B90/GR","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2016-02-16,"by",17
"BY.128","/wiki/Gisela_Sengl-by-17","/wiki/Gisela_Sengl","B90/GR","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2016-02-17,2018-09-27,"by",17
"BY.129","/wiki/Katharina_Schulze-by-17","/wiki/Katharina_Schulze","B90/GR","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2017-02-14,"by",17
"BY.130","/wiki/J%C3%BCrgen_Mistol-by-17","/wiki/J%C3%BCrgen_Mistol","B90/GR","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
